(chess-engine) henry@fedora:~/Desktop/code/chess-engine$ python train_unified.py     --resume-from ./checkpoints/phase1/checkpoint_step_90000.pt     --dataset-type action_value     --dataset-path ./searchless_chess/data/train     --batch-size 64     --total-steps 200000     --learning-rate 3e-4     --warmup-steps 5000     --d-model 512 --n-layers 12 --n-heads 8 --d-ff 2048     --dropout 0.1 --drop-path 0.1     --grad-accum-steps 2     --grad-clip 1.0     --output-dir ./checkpoints/phase1 --log-interval 50 --precision fp32
[startup] cuda_count=1 precision=fp32 rank=0 world=1 local_rank=0 device=cuda:0 amp=off
Resumed from ./checkpoints/phase1/checkpoint_step_90000.pt at step 90000
Step 105550/200000, lr=1.426323e-04, loss=3.7702, time=28.1s
Step 105600/200000, lr=1.425116e-04, loss=3.7931, time=28.1s
Step 105650/200000, lr=1.423909e-04, loss=3.8468, time=28.1s
Step 105700/200000, lr=1.422703e-04, loss=3.8231, time=28.1s
Step 105750/200000, lr=1.421496e-04, loss=3.7718, time=28.1s
Step 105800/200000, lr=1.420289e-04, loss=3.8543, time=28.1s
Step 105850/200000, lr=1.419083e-04, loss=3.8214, time=28.1s
Step 105900/200000, lr=1.417876e-04, loss=3.7292, time=28.1s
Step 105950/200000, lr=1.416670e-04, loss=3.9273, time=28.1s
Step 106000/200000, lr=1.415463e-04, loss=3.7791, time=28.1s
Step 106050/200000, lr=1.414257e-04, loss=3.7879, time=28.1s
Step 106100/200000, lr=1.413051e-04, loss=3.7661, time=28.1s
Step 106150/200000, lr=1.411845e-04, loss=3.8448, time=28.1s
Step 106200/200000, lr=1.410638e-04, loss=3.7505, time=28.1s
Step 106250/200000, lr=1.409432e-04, loss=3.8001, time=28.1s
Step 106300/200000, lr=1.408226e-04, loss=3.9363, time=28.1s
Step 106350/200000, lr=1.407020e-04, loss=3.8287, time=28.1s
Step 106400/200000, lr=1.405814e-04, loss=3.7925, time=28.1s
Step 106450/200000, lr=1.404608e-04, loss=3.7795, time=28.1s
Step 106500/200000, lr=1.403403e-04, loss=3.7619, time=28.1s
Step 106550/200000, lr=1.402197e-04, loss=3.7110, time=28.1s
Step 106600/200000, lr=1.400991e-04, loss=3.7750, time=28.1s
Step 106650/200000, lr=1.399785e-04, loss=3.7355, time=28.1s
Step 106700/200000, lr=1.398580e-04, loss=3.8429, time=28.1s
Step 106750/200000, lr=1.397374e-04, loss=3.8023, time=28.1s
Step 106800/200000, lr=1.396169e-04, loss=3.7471, time=28.1s
Step 106850/200000, lr=1.394964e-04, loss=3.7585, time=28.1s
Step 106900/200000, lr=1.393758e-04, loss=3.8050, time=28.1s
Step 106950/200000, lr=1.392553e-04, loss=3.8003, time=28.1s
Step 107000/200000, lr=1.391348e-04, loss=3.8194, time=28.1s
Step 107050/200000, lr=1.390143e-04, loss=3.7393, time=28.1s
Step 107100/200000, lr=1.388938e-04, loss=3.7718, time=28.1s
